LAMMPS restart file after 2ns annealing

1810 atoms
2 atom types

0.0 25.994814 xlo xhi
0.0 25.994814 ylo yhi
0.0 46.795331 zlo zhi

Masses

1 28.0855  # Si
2 47.867   # Ti

Atoms # atomic

1119 2 11.472700 9.343460 29.626700
414 1 13.803600 10.102000 28.898500
1123 2 13.856300 7.389090 29.159300
1239 2 16.238100 9.155720 29.464700
1503 2 19.751500 8.925110 29.174300
1702 2 21.873500 7.216070 30.425600
1603 2 22.333600 9.923120 29.388300
1721 2 1.019460 9.180700 28.384400
759 2 24.148700 8.074300 28.289500
1602 2 25.186300 9.990010 30.263200
903 2 1.824380 10.904000 30.836200
882 2 4.031880 11.988600 30.331300
1027 2 7.027680 11.335500 29.680800
1122 2 9.701340 11.428000 29.201400
1147 2 8.451100 13.178600 31.075300
1086 2 7.194010 0.571844 44.741200
1145 2 12.465000 11.900700 30.459100
1383 2 15.346700 11.727200 30.403600
1360 2 17.795900 11.014800 28.520600
1389 2 17.872500 12.606100 31.046800
1385 2 19.066300 13.831400 28.756600
1484 2 20.278200 11.537600 30.267000
1624 2 21.998000 12.995700 28.338000
1604 2 23.220600 11.797500 30.804900
762 2 26.479700 12.314800 28.860000
838 2 2.532240 2.556480 31.886900
742 2 1.791850 1.759110 34.631500
857 2 4.830790 1.333050 32.364200
982 2 6.910470 2.752830 32.872000
741 2 4.382180 2.743860 34.583300
979 2 9.371630 1.247250 32.962100
860 2 10.008300 3.260020 31.170800
1196 2 11.956000 1.184840 31.851200
1318 2 11.434900 2.766440 33.946200
1218 2 13.384000 3.594540 31.637100
1314 2 14.214400 1.614850 33.232100
1341 2 16.026700 3.726290 33.317800
1434 2 16.842800 1.547830 31.968400
1459 2 19.037500 2.823850 33.375000
1461 2 21.618400 1.355130 34.123100
1703 2 23.615300 3.122140 33.133300
743 2 26.080700 1.745110 32.519300
765 2 2.344890 4.863670 33.612200
740 2 4.874430 4.515350 32.249600
881 2 6.999270 6.897370 31.138000
981 2 8.679210 5.575370 32.841800
1099 2 11.092800 5.189570 32.647200
1219 2 13.604200 4.889070 34.075600
1102 2 14.472700 6.140000 31.722500
1220 2 16.279900 6.090910 34.225200
1217 2 17.638100 5.237570 31.940400
1487 2 19.107100 6.031190 34.112800
1337 2 20.888600 4.753120 32.248100
1701 2 23.488100 5.329410 31.428700
1725 2 26.070100 4.712110 31.923900
766 2 2.441340 8.296390 34.119800
761 2 3.766130 10.261100 32.655800
879 2 4.276690 7.194710 32.402100
1004 2 6.203990 9.466300 31.655800
1104 2 6.764320 7.790730 33.895400
1247 2 9.641990 7.860290 34.064600
1121 2 8.821400 10.389300 32.095100
883 2 10.180300 7.601540 31.413900
